type,count
transit_station,184
plumber,7
housing_society,7
soup_kitchen,7
wholesale_grocer,6
dental_clinic,6
embassy,5
condominium_complex,5
housing_complex,5
apartment_complex,5
sculpture,4
foundation,4
pest_control_service,3
country_house,3
handicraft_fair,3
food_manufacturer,3
mining_company,3
religious_destination,3
amusement_park,3
plastic_fabrication_company,3
fire_protection_equipment_supplier,3
hearing_aid_store,2
business_center,2
welder,2
disability_services_and_support_organization,2
art_studio,2
delivery_service,2
battery_store,2
costume_rental_service,2
paper_mill,2
paralegal_services_provider,2
elevator_service,2
livery_company,2
real_estate_developer,2
nut_store,2
entertainer,2
printer_repair_service,2
psychopedagogy_clinic,2
physiotherapy_center,2
business_school,2
self_defense_school,2
synagogue,2
recording_studio,2
religious_organization,2
biochemistry_lab,2
painter,2
medical_diagnostic_imaging_center,2
chocolate_cafe,2
historical_landmark,1
financial_planner,1
Grow shop***,1
tailor,1
shrine,1
occupational_health_service,1
wool_store,1
junk_dealer,1
office_equipment_supplier,1
villa,1
Tool &amp; die shop***,1
soccer_practice,1
hygiene_articles_wholesaler,1
cancer_treatment_center,1
lawn_mower_store,1
food_and_beverage_exporter,1
window_installation_service,1
gas_installation_service,1
distance_learning_center,1
football_field,1
tent_rental_service,1
poultry_farm,1
rock_climbing_centre,1
height_works,1
student_housing_center,1
public_parking_space,1
interior_plant_service,1
Memorial***,1
wedding_chapel,1
tattoo_artist,1
gas_engineer,1
cosmetics_industry,1
chemistry_lab,1
protective_clothing_supplier,1
cannabis_store,1
bait_shop,1
wholesale_plant_nursery,1
Payment terminal***,1
entertainment_agency,1
nursing_school,1
coffee_store,1
engineer,1
mineral_water_company,1
outlet_store,1
warehouse_club,1
coaching_center,1
gasfitter,1
private_investigator,1
vocational_training_school,1
country_club,1
waste_management_service,1
fashion_design_school,1
embroidery_shop,1
herbal_medicine_store,1
video_editing_service,1
decal_supplier,1
art_supply_store,1
interior_decorator,1
employment_agency,1
permanent_make_up_clinic,1
townhouse_complex,1
faculty_of_science,1
film_production_company,1
economic_consultant,1
egg_supplier,1
sewage_treatment_plant,1
executive_suite_rental_agency,1
steel_distributor,1
gated_community,1
educational_testing_service,1
womens_organization,1
produce_wholesaler,1
flea_market,1
Information centers***,1
millwork_shop,1
foster_care_service,1
hair_transplantation_clinic,1
yoga_retreat_center,1
baking_supply_store,1
Electrical products wholesaler***,1
Plastic products wholesaler***,1
woodworking_supply_store,1
clothes_market,1
hospice,1
internet_cafe,1
personal_trainer,1
swimming_pool,1
customs_broker,1
flavours_fragrances_and_aroma_supplier,1
staple_food_package,1
herbalist,1
building_equipment_hire_service,1
furnished_apartment_building,1
ambulance_service,1
deli,1
x_ray_lab,1
stained_glass_studio,1
farm_equipment_repair_service,1
machine_workshop,1
process_server,1
carport_and_pergola_builder,1
dialysis_center,1
cosmetic_products_manufacturer,1
baseball_field,1
counselor,1
gift_basket_store,1
wine_club,1
video_game_rental_service,1
fortune_telling_services,1
societe_de_flocage,1
pharmaceutical_company,1
iron_works,1
trade_fair_construction_company,1
e_commerce_service,1
air_conditioning_store,1
tenant_ownership,1
acupuncturist,1
upholstery_cleaning_service,1
landmark,1
automation_company,1
clothing_wholesaler,1
hindu_temple,1
tour_operator,1
swimming_facility,1
massage_school,1
screen_printing_shop,1
architectural_designer,1
Confectionery store***,1
wood_frame_supplier,1
hose_supplier,1
business_broker,1
Professional services***,1
awning_supplier,1
Newspaper distribution service***,1
bullring,1
haberdashery,1
sikh_temple,1
psychomotor_therapist,1
mosque,1
paper_distributor,1
fireworks_store,1
rubber_products_supplier,1
sportwear_manufacturer,1
